T05,International migrants and refugees,,,,,
826,United Kingdom,2010,International migrant stock: Both sexes (number),"7,119,664",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2010,International migrant stock: Both sexes (% total population),11.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2010,International migrant stock: Male (% total Population),11.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2010,International migrant stock: Female (% total Population),11.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2010,Total refugees and people in refugee-like situations (number),"238,150",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2010,"Asylum seekers, including pending cases (number)","14,880",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2010,Other of concern to UNHCR (number),229,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2010,Total population of concern to UNHCR (number),"253,259",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2015,International migrant stock: Both sexes (number),"8,406,996",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2015,International migrant stock: Both sexes (% total population),12.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2015,International migrant stock: Male (% total Population),12.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2015,International migrant stock: Female (% total Population),13.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2015,Total refugees and people in refugee-like situations (number),"117,234",Data relates to the end of 2014.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2015,"Asylum seekers, including pending cases (number)","37,829",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2015,Other of concern to UNHCR (number),16,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2015,Total population of concern to UNHCR (number),"155,079",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2020,International migrant stock: Both sexes (number),"9,359,587",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2020,International migrant stock: Both sexes (% total population),13.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2020,International migrant stock: Male (% total Population),13.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2020,International migrant stock: Female (% total Population),14.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
826,United Kingdom,2020,Total refugees and people in refugee-like situations (number),"134,936",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2020,"Asylum seekers, including pending cases (number)","56,476",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2020,Other of concern to UNHCR (number),184,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2020,Total population of concern to UNHCR (number),"191,596",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2021,Total refugees and people in refugee-like situations (number),"135,912",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2021,"Asylum seekers, including pending cases (number)","83,506",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2021,Other of concern to UNHCR (number),"4,177",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
826,United Kingdom,2021,Total population of concern to UNHCR (number),"219,627",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
834,United Rep. of Tanzania,2005,International migrant stock: Both sexes (number),"771,153",Including refugees.;Including Zanzibar.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
834,United Rep. of Tanzania,2005,International migrant stock: Both sexes (% total population),2.0,Including refugees.;Including Zanzibar.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
834,United Rep. of Tanzania,2005,International migrant stock: Male (% total Population),2.5,Including refugees.;Including Zanzibar.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
834,United Rep. of Tanzania,2005,International migrant stock: Female (% total Population),1.5,Including refugees.;Including Zanzibar.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
834,United Rep. of Tanzania,2005,Total refugees and people in refugee-like situations (number),"548,824",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
834,United Rep. of Tanzania,2005,"Asylum seekers, including pending cases (number)",307,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
834,United Rep. of Tanzania,2005,Other of concern to UNHCR (number),"81,519",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
